Time Exp 0,Time Exp 1,Time Exp 2,Time Exp 3,Time Exp 4
554,63392,697,184,31
217,183660,2246,277,106
178,298661,3556,469,144
170,285125,4797,574,127
108,130489,6391,850,162
103,165527,8304,922,157
84,201246,9471,1117,190
75,245327,11123,1578,190
67,268638,13180,1733,229
70,313103,14463,1615,219
74,326659,15269,1747,256
50,378684,18634,1994,256
54,412434,19391,1968,295
49,430398,21374,2069,306
67,472958,23658,2648,329
110,518958,24514,2463,301
131,370092,26423,2908,339
81,288461,28321,2864,325
98,308253,29150,3207,412
83,310659,30371,3416,414
92,345114,31572,3738,454
94,344297,34353,3454,412
157,364191,35369,3699,443
104,379646,37098,3633,440
97,372219,39085,4063,450
105,398457,39794,4045,444
97,410050,42433,4090,528
85,417568,45004,4431,458
98,428036,45218,4668,507
91,451277,48396,4817,488
